Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
CVTU.LETSPRRUN7.23,LETSPRRUN 7.23,LeTort Spring Run 7.23,40.16865,-77.193367,,Letort Spring Run,LeTort Spring Run 7.23,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
CCCD.LETSPRRUN4.77,LETSPRRUN4.77,LeTort Spring Run 4.77,40.195294,-77.184267,,Letort Spring Run,Letort Spring Run at Letort Park,NAD83,Cumberland County,FALSE,,42041,020503050404,Pennsylvania,Lower Susquehanna
TUCCC.LICKCR001,LICKCR001,Lick Creek,41.65857,-77.156567,,Headwaters Babb Creek,Lick Creek,NAD83,Tioga County,FALSE,,42117,020502050401,Pennsylvania,
TUCCC.LICKCR002,LICKCR002,Lick Creek,41.653967,-77.193518,,Headwaters Babb Creek,Lick Creek,NAD83,Tioga County,FALSE,,42117,020502050401,Pennsylvania,
TUCCC.LICKRU001,LICKRU001,Lick Run,41.74038,-77.53815,,Lick Run-Pine Creek,Lick Run,NAD83,Tioga County,FALSE,,42117,020502050208,Pennsylvania,
TUCCC.LICKRU002,LICKRU002,Lick Run,41.72163,-77.53445,,Lick Run-Pine Creek,Lick Run,NAD83,Tioga County,FALSE,,42117,020502050208,Pennsylvania,
TUCCC.LICKRU003,LICKRU003,Lick Run,41.43227,-77.2711,,Little Pine Creek-Pine Creek,Lick Run,NAD83,Lycoming County,FALSE,,42081,020502050506,Pennsylvania,
TUCCC.LICLCR001,LICLCR001,Little Clearfield Creek,40.89428,-78.5321,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR002,LICLCR002,Little Clearfield Creek,40.9298,-78.4683,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR003,LICLCR003,Little Clearfield Creek,40.8947,-78.57742,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR004,LICLCR004,Little Clearfield Creek,40.8967,-78.5191,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR005,LICLCR005,Little Clearfield Creek,40.8941,-78.5431,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR006,LICLCR006,Little Clearfield Creek,40.9161,-78.5051,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
TUCCC.LICLCR007,LICLCR007,Little Clearfield Creek,40.9444,-78.4471,,Little Clearfield Creek,Little Clearfield Creek,NAD83,Clearfield County,FALSE,,42033,020502010309,Pennsylvania,
GCWD.LICRUN0.19,LICRUN0.19,Lick Run 0.19,41.74223333,-77.53732,,Lick Run-Pine Creek,Lick Run 0.19,NAD83,Tioga County,FALSE,n/a,42117,020502050208,Pennsylvania,West Branch Susquehanna
