Code,Name,NameLong,Lat,Long,Cbseg,WaterBody,Description,Datum,CityCounty,Tidal,Comments,Fips,Huc12,State,Huc6Name
NYWS.FULHOLCRE0.55,FULHOLCRE 0.55,,42.09271,-75.96206,,Little Choconut Creek-Susquehanna River,Fuller Hollow Creek,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.GEN01,GEN01,,42.44655,-75.774925,,Upper Genegantslet Creek,Geneganslet Creek,NAD83,Chenango County,FALSE,,36017,020501020702,New York,
NYWS.GLABRO2.27,GLABRO 2.27,,42.618856,-75.768206,,Upper Otselic River,Gladding Brook,NAD83,Chenango County,FALSE,,36017,020501020303,New York,
NYWS.GLECASCRE0.31,GLECASCRE 0.31,,42.180776,-75.907419,,Castle Creek,Glen Castle Creek 2,NAD83,Broome County,FALSE,,36007,020501020809,New York,
NYWS.GLECASCRE0.32,GLECASCRE 0.32,,42.180732,-75.907476,,Castle Creek,Glen Castle,NAD83,Broome County,FALSE,,36007,020501020809,New York,
NYWS.GOFCRE3.79,GOFCRE 3.79,,42.36539,-77.447128,,Goff Creek,Goff Creek,NAD83,Steuben County,FALSE,,36101,020501050105,New York,
NYWS.GOOCRE0.25,GOOCRE 0.25,,42.11939,-77.20543,,Goodhue Creek,Goodhue Creek,NAD83,Steuben County,FALSE,,36101,020501040410,New York,
NYWS.HELCRE3.10,HELCRE 3.10,,42.213036,-77.3464,,Lower Canisteo River,Helmer Creek,NAD83,Steuben County,FALSE,,36101,020501040411,New York,
NYWS.HODCRE0.46,HODCRE 0.46,,42.168437,-77.098832,,Hodgmans Creek-Cohocton River,Hodgman's Creek at Victory Highway,NAD83,Steuben County,FALSE,,36101,020501050308,New York,
NYWS.KARVALCRE3.87,KARVALCRE 3.87,,42.32057,-77.802397,,Karr Valley Creek,Karr Valley Rd-Ryan Rd,NAD83,Allegany County,FALSE,,36003,020501040102,New York,
NYWS.KARVALCRE5.40,KARVALCRE 5.40,,42.321642,-77.8311,,Karr Valley Creek,Karr Valley Creek at Donnelly Road,NAD83,Allegany County,FALSE,,36003,020501040102,New York,
NYWS.KARVALCRE8.92,KARVALCRE 8.92,,42.322989,-77.832562,,Karr Valley Creek,McHenry Valley Creek,NAD83,Allegany County,FALSE,,36003,020501040102,New York,
NYWS.KORCRE6.92,KORCRE 6.92,,42.430457,-74.835244,,Kortright Creek,Kortright Creek at McKee Hill,NAD83,Delaware County,FALSE,,36025,020501010404,New York,
TUCCC.LICHCR001,LICHCR001,Little Choconut Creek,42.13758,-75.94223,,Little Choconut Creek-Susquehanna River,Little Choconut Creek,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.LITCHOCRE2.24,LITCHOCRE 2.24,,42.121054,-75.948932,,Little Choconut Creek-Susquehanna River,Little Choconut Creek,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.LITCHOCRE4.11,LITCHOCRE 4.11,,42.142795,-75.942233,,Little Choconut Creek-Susquehanna River,Little Choconut Creek 2,NAD83,Broome County,FALSE,,36007,020501030201,New York,
NYWS.LITCRE0.85,LITCRE 0.85,,42.091286,-76.220501,,Little Nanticoke Creek,Little Nanticoke Creek @ Hickories,NAD83,Tioga County,FALSE,,36107,020501030502,New York,
NYWS.LITSNACRE0.39,LITSNACRE 0.39,,42.027603,-75.801853,,Little Snake Creek,Little Snake Creek,NAD83,Broome County,FALSE,,36007,020501011311,New York,
NYWS.LUDCRE9.41,LUDCRE 9.41,,42.481862,-75.715585,,Bowman Creek,Ludlow Creek,NAD83,Chenango County,FALSE,,36017,020501020801,New York,
NYWS.LYOCRE0.36,LYOCRE 0.36,,42.462967,-75.5481,,Lyon Brook-Chenango River,Lyon Brook,NAD83,Chenango County,FALSE,,36017,020501020610,New York,
NYWS.MEACRE2.15,MEACRE 2.15,,42.192531,-77.14166,,Meads Creek,Meads Creek,NAD83,Steuben County,FALSE,,36101,020501050306,New York,
NYWS.MICCRE0.41,MICCRE 0.41,,42.2307,-77.20569,,Michigan Creek,Michigan Creek,NAD83,Steuben County,FALSE,,36101,020501050304,New York,
NYWS.NANCRE19.40,NANCRE 19.40,,42.214673,-76.040482,,Middle Nanticoke Creek,Nanticoke Creek - East Branch,NAD83,Broome County,FALSE,,36007,020501030104,New York,
TUCCC.NANTCR001,NANTCR001,Nanticoke Creek,42.21541,-76.03917,,Middle Nanticoke Creek,Nanticoke Creek,NAD83,Broome County,FALSE,,36007,020501030104,New York,
TUCCC.Nanticoke Creek,Nanticoke Creek,Nanticoke Creek,42.21541,-76.03917,,Middle Nanticoke Creek,Nanticoke Creek,NAD83,Broome County,FALSE,,36007,020501030104,New York,
NYWS.NEWCRE2.24,NEWCRE 2.24,,42.112538,-76.80241,,Lower Newtown Creek,Newtown Creek at Industrial Blvd.,NAD83,Chemung County,FALSE,,36015,020501050503,New York,
NYWS.NEWCRE4.29,NEWCRE 4.29,,42.172431,-76.733454,,Upper Newtown Creek,Newtown Creek at Church St. Bridge,NAD83,Chemung County,FALSE,,36015,020501050502,New York,
NYWS.NEWCRE5.00,NEWCRE 5.00,,42.143654,-76.812171,,Lower Newtown Creek,Newtown Creek,NAD83,Chemung County,FALSE,,36015,020501050503,New York,
NRPA.NR-7,NR-7,,36.740257,-76.579794,,,Rt. 460 Constants Wharf,NAD83,,FALSE,"""""Monthly, All parameters dissolved oxygen, water temperature, salinity, water clarity, pH, e.Coli""""",,,,
OCCA.OAKCRE0.72,OAKCRE 0.72,Oaks Creek 0.72,42.666023,-74.959008,,Oaks Creek,Rte 25 south of 11,NAD83,Otsego County,FALSE,,36077,020501010103,New York,Upper Susquehanna
NYWS.OCCCRE0.98,OCCCRE 0.98,,42.078057,-75.64839,,Occanum Creek-Susquehanna River,Occanum Creek,NAD83,Broome County,FALSE,,36007,020501011208,New York,
NYWS.OSBCRE0.67,OSBCRE 0.67,,42.167795,-75.82428,,Osborne Creek,Osborn Creek,NAD83,Broome County,FALSE,,36007,020501020808,New York,
OCCA.OTECRE21.08,OTECRE 21.08,Otego Creek 21.08,42.61636,-75.05741,,Upper Otego Creek,Rte 11D between 11 and 205,NAD83,Otsego County,FALSE,,36077,020501010502,New York,Upper Susquehanna
NYWS.OTSRIV33.88,OTSRIV 33.88,,42.642336,-75.789453,,Upper Otselic River,Otselic River,NAD83,Chenango County,FALSE,,36017,020501020303,New York,
NYWS.OUACRE0.23,OUACRE 0.23,,42.127543,-75.643697,,Ouaquaga Creek-Susquehanna River,Ouaquaga Creek,NAD83,Broome County,FALSE,,36007,020501011207,New York,
TUCCC.OWEGCR001,OWEGCR001,OWEGCR001,42.1269,-76.27025,,Lower East Branch Owego Creek-Owego Creek,OWEGCR001,NAD83,Tioga County,FALSE,,36107,020501030409,New York,
